package,build,benchmark,before_ns,after_ns,change_pct,before_B_op,after_B_op,before_allocs_op,after_allocs_op,samples_per_revision,before_min_ns,before_max_ns,after_min_ns,after_max_ns
xxh64,purego,BenchmarkDigestSum/4096,8.044,6.6235,-17.659,0.0,0.0,0.0,0.0,6,8.044,8.048,6.62,6.626
rapidhash,native,BenchmarkSum64/4,2.8785,2.865,-0.469,0.0,0.0,0.0,0.0,6,2.878,2.88,2.864,2.866
rapidhash,native,BenchmarkSum64/16,2.858,2.8765,0.647,0.0,0.0,0.0,0.0,6,2.856,2.859,2.875,2.879
rapidhash,native,BenchmarkSum64/64,5.468,5.4555,-0.229,0.0,0.0,0.0,0.0,6,5.466,5.48,5.453,5.456
rapidhash,native,BenchmarkSum64/256,13.71,13.54,-1.24,0.0,0.0,0.0,0.0,6,13.7,13.73,13.54,13.55
rapidhash,native,BenchmarkSum64/1024,38.11,38.365,0.669,0.0,0.0,0.0,0.0,6,38.09,38.27,38.35,38.37
rapidhash,native,BenchmarkSum64/16384,514.2,530.0,3.073,0.0,0.0,0.0,0.0,6,514.0,514.7,529.9,530.2
rapidhash,native,BenchmarkSum64/1048576,39554.5,41746.5,5.542,0.0,0.0,0.0,0.0,6,38517.0,40257.0,40971.0,41881.0
rapidhash,native,BenchmarkSum64Seed/4,3.649,3.6465,-0.069,0.0,0.0,0.0,0.0,6,3.648,3.652,3.646,3.648
rapidhash,native,BenchmarkSum64Seed/16,3.6935,3.69,-0.095,0.0,0.0,0.0,0.0,6,3.692,3.698,3.688,3.691
rapidhash,native,BenchmarkSum64Seed/64,6.5555,6.553,-0.038,0.0,0.0,0.0,0.0,6,6.551,6.564,6.548,6.579
rapidhash,native,BenchmarkSum64Seed/256,14.03,13.99,-0.285,0.0,0.0,0.0,0.0,6,14.01,14.03,13.99,13.99
rapidhash,native,BenchmarkSum64Seed/1024,39.005,38.98,-0.064,0.0,0.0,0.0,0.0,6,38.97,39.01,38.96,39.0
rapidhash,native,BenchmarkSum64Seed/16384,530.5,530.35,-0.028,0.0,0.0,0.0,0.0,6,530.2,530.6,530.2,531.0
rapidhash,native,BenchmarkSum64Seed/1048576,41274.0,39700.5,-3.812,0.0,0.0,0.0,0.0,6,40792.0,41479.0,39130.0,41132.0
